Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-02 00:00:00-03:00,13.684701780249016,13.732218288394035,13.323578493471693,13.485133171081543,14995900,0.0,0.0
2023-01-03 00:00:00-03:00,13.456623912540032,13.675199492096473,13.4091074033928,13.466127395629883,36363800,0.0,0.0
2023-01-04 00:00:00-03:00,13.570662901239032,13.751225453547624,13.380597772205268,13.542153358459473,23791800,0.0,0.0
2023-01-05 00:00:00-03:00,13.561160756353836,13.694205897763132,13.437618191972309,13.580166816711426,31031500,0.0,0.0
2023-01-06 00:00:00-03:00,13.589669896932257,13.646688982615732,13.45662385316744,13.608675956726074,20889800,0.0,0.0
2023-01-09 00:00:00-03:00,13.580166325614085,13.751225394156688,13.561160265943807,13.684701919555664,24448600,0.0,0.0
2023-01-10 00:00:00-03:00,13.55165688819871,13.874768061820872,13.542153405138757,13.817748069763184,35535000,0.0,0.0
2023-01-11 00:00:00-03:00,13.789238918457245,14.05533010757789,13.257055633913904,13.580166816711426,74419600,0.0,0.0
2023-01-12 00:00:00-03:00,13.114506649404099,13.466127366243013,12.981460605342606,13.399604797363281,69959500,0.0,0.0
2023-01-13 00:00:00-03:00,13.304571762102233,13.352088271084432,13.085997089606956,13.190532684326172,44291300,0.0,0.0
2023-01-16 00:00:00-03:00,13.03848082225273,13.057486882416612,12.525304509599302,12.544310569763184,58837000,0.0,0.0
2023-01-17 00:00:00-03:00,12.639343582669989,13.257055491646632,12.544310562995715,13.171525955200195,68143400,0.0,0.0
2023-01-18 00:00:00-03:00,13.238049522865934,13.3615920867744,13.047983482205495,13.095499992370605,32154400,0.0,0.0
2023-01-19 00:00:00-03:00,12.990964339293289,13.162023412632697,12.876925259167699,12.962454795837402,51799200,0.0,0.0
2023-01-20 00:00:00-03:00,12.87692475140033,12.962454284697404,12.705865684806183,12.857917785644531,33626000,0.0,0.0
2023-01-23 00:00:00-03:00,12.886428729295666,13.000467809305109,12.69636268964455,12.753382682800293,29938500,0.0,0.0
